Объявление;Цена
5-к. квартира, 118,9 м², 12/24 эт.;34 953 660 ₽
5-к. квартира, 147 м², 4/11 эт.;56 294 532 ₽
5-к. квартира, 257,1 м², 10/14 эт.;651 990 000 ₽
5-к. квартира, 229,3 м², 11/14 эт.;592 430 000 ₽
5-к. квартира, 91,7 м², 5/12 эт.;34 841 738 ₽
5-к. квартира, 118,9 м², 13/24 эт.;35 072 550 ₽
5-к. квартира, 227,4 м², 12/14 эт.;627 170 000 ₽
5-к. квартира, 169,5 м², 1/22 эт.;62 728 560 ₽
5-к. квартира, 118,9 м², 11/24 эт.;34 834 770 ₽
5-к. квартира, 131,7 м², 30/32 эт.;84 557 044 ₽
5-к. квартира, 107,8 м², 6/13 эт.;26 914 910 ₽
5-к. квартира, 250,3 м², 6/8 эт.;615 530 000 ₽
5-к. квартира, 365 м², 7/8 эт.;1 284 870 000 ₽
5-к. квартира, 250,5 м², 5/8 эт.;537 400 000 ₽
5-к. квартира, 352,4 м², 13/14 эт.;1 615 900 000 ₽
5-к. квартира, 107,8 м², 5/13 эт.;26 823 414 ₽
5-к. квартира, 271,2 м², 13/14 эт.;1 036 540 000 ₽
5-к. квартира, 227,4 м², 10/14 эт.;557 710 000 ₽
5-к. квартира, 259,1 м², 11/14 эт.;688 320 000 ₽
5-к. квартира, 107,8 м², 10/13 эт.;27 281 221 ₽
5-к. квартира, 257,3 м², 12/14 эт.;732 840 000 ₽
5-к. квартира, 204,2 м², 4/19 эт.;82 936 056 ₽
5-к. квартира, 267,5 м², 7/8 эт.;670 510 000 ₽
5-к. квартира, 227,2 м², 9/9 эт.;233 498 770 ₽
5-к. квартира, 227 м², 8/14 эт.;531 890 000 ₽
5-к. квартира, 190,3 м², 41/41 эт.;180 785 000 ₽
5-к. квартира, 128,2 м², 21/22 эт.;70 000 000 ₽
5-к. квартира, 152,5 м², 41/41 эт.;144 875 000 ₽
5-к. квартира, 108,4 м², 2/13 эт.;26 702 396 ₽
5-к. квартира, 229 м², 9/14 эт.;560 310 000 ₽
5-к. квартира, 183 м², 6/8 эт.;97 776 900 ₽
5-к. квартира, 182,1 м², 4/19 эт.;83 554 125 ₽
5-к. квартира, 105,3 м², 3/8 эт.;34 000 000 ₽
5-к. квартира, 158,4 м², 23/40 эт.;96 856 526 ₽
5-к. квартира, 101 м², 2/8 эт.;32 282 000 ₽
5-к. квартира, 133,6 м², 25/51 эт.;45 811 440 ₽
5-к. квартира, 138,2 м², 3/15 эт.;64 523 000 ₽
